item_name,category,store_name,price,quantity,unit_type,unit_price,date_purchased,target_price,notes,organic,grass_fed,freshness,meat_grade,seafood_source,user_id,flagged_for_review,verified,flagged_reason,reviewed_by,reviewed_at
Ice Cream,Frozen,Baseline Average,5.2,1,pint,5.2,2025-11-11,,Seeded baseline price — CA/West region avg,,,,,,,False,False,,,
Frozen Vegetables,Frozen,Baseline Average,2.8,1,lb,2.8,2025-11-11,,Seeded baseline price — CA/West region avg,,,,,,,False,False,,,
Frozen Chicken Nuggets,Frozen,Baseline Average,7.2,1,lb,7.2,2025-11-11,,Seeded baseline price — CA/West region avg,,,,,,,False,False,,,
Frozen Fish Fillets,Frozen,Baseline Average,8.5,1,lb,8.5,2025-11-11,,Seeded baseline price — CA/West region avg,,,,,,,False,False,,,
Ketchup,Condiment,Baseline Average,3.5,1,bottle,3.5,2025-11-11,,Seeded baseline price — CA/West region avg,,,,,,,False,False,,,
Mustard,Condiment,Baseline Average,2.0,1,bottle,2.0,2025-11-11,,Seeded baseline price — CA/West region avg,,,,,,,False,False,,,
Mayonnaise,Condiment,Baseline Average,5.0,1,jar,5.0,2025-11-11,,Seeded baseline price — CA/West region avg,,,,,,,False,False,,,
Soy Sauce,Condiment,Baseline Average,3.0,1,bottle,3.0,2025-11-11,,Seeded baseline price — CA/West region avg,,,,,,,False,False,,,
BBQ Sauce,Condiment,Baseline Average,3.8,1,bottle,3.8,2025-11-11,,Seeded baseline price — CA/West region avg,,,,,,,False,False,,,
Salad Dressing,Condiment,Baseline Average,4.0,1,bottle,4.0,2025-11-11,,Seeded baseline price — CA/West region avg,,,,,,,False,False,,,
Canned Soup,Pantry,Baseline Average,2.5,1,can,2.5,2025-11-11,,Seeded baseline price — CA/West region avg,,,,,,,False,False,,,
Canned Tuna,Pantry,Baseline Average,1.5,1,can,1.5,2025-11-11,,Seeded baseline price — CA/West region avg,,,,,,,False,False,,,
Canned Beans,Pantry,Baseline Average,1.3,1,can,1.3,2025-11-11,,Seeded baseline price — CA/West region avg,,,,,,,False,False,,,
Canned Corn,Pantry,Baseline Average,1.1,1,can,1.1,2025-11-11,,Seeded baseline price — CA/West region avg,,,,,,,False,False,,,
Canned Tomatoes,Pantry,Baseline Average,1.4,1,can,1.4,2025-11-11,,Seeded baseline price — CA/West region avg,,,,,,,False,False,,,
Macaroni and Cheese,Pantry,Baseline Average,1.5,1,box,1.5,2025-11-11,,Seeded baseline price — CA/West region avg,,,,,,,False,False,,,
Frozen Fries,Frozen,Baseline Average,3.2,1,lb,3.2,2025-11-11,,Seeded baseline price — CA/West region avg,,,,,,,False,False,,,
Chocolate,Snack,Baseline Average,2.8,1,bar,2.8,2025-11-11,,Seeded baseline price — CA/West region avg,,,,,,,False,False,,,
Chips,Snack,Baseline Average,4.5,1,bag,4.5,2025-11-11,,Seeded baseline price — CA/West region avg,,,,,,,False,False,,,
Cookies,Snack,Baseline Average,4.2,1,box,4.2,2025-11-11,,Seeded baseline price — CA/West region avg,,,,,,,False,False,,,
Crackers,Snack,Baseline Average,3.8,1,box,3.8,2025-11-11,,Seeded baseline price — CA/West region avg,,,,,,,False,False,,,
Trail Mix,Snack,Baseline Average,6.0,1,lb,6.0,2025-11-11,,Seeded baseline price — CA/West region avg,,,,,,,False,False,,,
Popcorn,Snack,Baseline Average,2.5,1,box,2.5,2025-11-11,,Seeded baseline price — CA/West region avg,,,,,,,False,False,,,
Energy Bar,Snack,Baseline Average,1.8,1,bar,1.8,2025-11-11,,Seeded baseline price — CA/West region avg,,,,,,,False,False,,,
Milk Chocolate Bar,Snack,Baseline Average,1.5,1,bar,1.5,2025-11-11,,Seeded baseline price — CA/West region avg,,,,,,,False,False,,,
Toilet Paper,Household,Baseline Average,12.0,1,12 roll pack,12.0,2025-11-11,,Seeded baseline price — CA/West region avg,,,,,,,False,False,,,
Paper Towels,Household,Baseline Average,10.0,1,6 roll pack,10.0,2025-11-11,,Seeded baseline price — CA/West region avg,,,,,,,False,False,,,
Laundry Detergent,Household,Baseline Average,14.0,1,bottle,14.0,2025-11-11,,Seeded baseline price — CA/West region avg,,,,,,,False,False,,,
Dish Soap,Household,Baseline Average,4.0,1,bottle,4.0,2025-11-11,,Seeded baseline price — CA/West region avg,,,,,,,False,False,,,
Trash Bags,Household,Baseline Average,8.0,1,box,8.0,2025-11-11,,Seeded baseline price — CA/West region avg,,,,,,,False,False,,,
Cleaning Spray,Household,Baseline Average,5.0,1,bottle,5.0,2025-11-11,,Seeded baseline price — CA/West region avg,,,,,,,False,False,,,
Bleach,Household,Baseline Average,3.5,1,gallon,3.5,2025-11-11,,Seeded baseline price — CA/West region avg,,,,,,,False,False,,,
Shampoo,Personal Care,Baseline Average,6.0,1,bottle,6.0,2025-11-11,,Seeded baseline price — CA/West region avg,,,,,,,False,False,,,
Conditioner,Personal Care,Baseline Average,6.0,1,bottle,6.0,2025-11-11,,Seeded baseline price — CA/West region avg,,,,,,,False,False,,,
Toothpaste,Personal Care,Baseline Average,3.0,1,tube,3.0,2025-11-11,,Seeded baseline price — CA/West region avg,,,,,,,False,False,,,
Soap,Personal Care,Baseline Average,2.0,1,bar,2.0,2025-11-11,,Seeded baseline price — CA/West region avg,,,,,,,False,False,,,
Deodorant,Personal Care,Baseline Average,5.0,1,stick,5.0,2025-11-11,,Seeded baseline price — CA/West region avg,,,,,,,False,False,,,
Lotion,Personal Care,Baseline Average,7.0,1,bottle,7.0,2025-11-11,,Seeded baseline price — CA/West region avg,,,,,,,False,False,,,
Razor Blades,Personal Care,Baseline Average,12.0,1,pack,12.0,2025-11-11,,Seeded baseline price — CA/West region avg,,,,,,,False,False,,,
Batteries,Electronics,Baseline Average,8.0,1,pack,8.0,2025-11-11,,Seeded baseline price — CA/West region avg,,,,,,,False,False,,,
Light Bulbs,Household,Baseline Average,10.0,1,pack,10.0,2025-11-11,,Seeded baseline price — CA/West region avg,,,,,,,False,False,,,
Aluminum Foil,Household,Baseline Average,4.5,1,roll,4.5,2025-11-11,,Seeded baseline price — CA/West region avg,,,,,,,False,False,,,
Plastic Wrap,Household,Baseline Average,3.5,1,roll,3.5,2025-11-11,,Seeded baseline price — CA/West region avg,,,,,,,False,False,,,
Zip Bags,Household,Baseline Average,5.0,1,box,5.0,2025-11-11,,Seeded baseline price — CA/West region avg,,,,,,,False,False,,,
Coffee Filters,Pantry,Baseline Average,2.5,1,box,2.5,2025-11-11,,Seeded baseline price — CA/West region avg,,,,,,,False,False,,,
Baby Diapers,Baby,Baseline Average,25.0,1,pack,25.0,2025-11-11,,Seeded baseline price — CA/West region avg,,,,,,,False,False,,,
Baby Wipes,Baby,Baseline Average,5.0,1,pack,5.0,2025-11-11,,Seeded baseline price — CA/West region avg,,,,,,,False,False,,,
Dog Food,Pet,Baseline Average,20.0,1,bag,20.0,2025-11-11,,Seeded baseline price — CA/West region avg,,,,,,,False,False,,,
Cat Food,Pet,Baseline Average,18.0,1,bag,18.0,2025-11-11,,Seeded baseline price — CA/West region avg,,,,,,,False,False,,,
